gen,best,mean,sigma,gravity,phase,elapsed_s
409,1177.9596240509247,445.0210680276612,0.3408938421743675,-9.427668355163824,random,1.6753342151641846
410,1518.2374416614766,669.3932633981952,0.340702417267334,-6.429269340962156,random,2.4738218784332275
411,1227.0056132814834,496.25671464532223,0.340442385125336,-9.18519108062152,random,1.5588529109954834
412,1374.8652271359244,619.1347944981304,0.3402568856187855,-7.7237329948307165,random,2.0792367458343506
413,1416.016373633964,617.9479039094758,0.3401351763567576,-7.910511169179404,random,1.9413707256317139
414,736.668481813458,251.84083026430312,0.3400244696853683,-11.469949507209234,random,1.1757042407989502
415,1371.3843597456525,668.9348723824701,0.3400022917949555,-7.316284102217461,random,2.5388681888580322
416,1650.9111200692603,526.4081070822733,0.3399121932800872,-9.14302909220413,random,2.0756468772888184
417,1185.4222592227586,588.6518045225031,0.3399319538054775,-8.453137293571631,random,2.240023136138916
418,1404.8319162603366,665.6646961105373,0.3398892463388066,-7.518475270114796,random,2.522196054458618
419,1148.8612860759868,377.62810583683165,0.33991844991852543,-10.714591836352698,random,1.438544750213623
420,1314.4056172879934,613.9481079731216,0.3399189406752316,-8.114532357328176,random,2.3769757747650146
421,823.3204798299748,306.88027049802633,0.33994262051737895,-10.102240399626268,random,1.2970960140228271
422,1322.6914330908703,681.753369645314,0.3400462899953925,-7.263177697045352,random,2.4826807975769043
423,1458.6367720771239,749.9970709852574,0.34024365480606117,-6.472307739105486,random,2.5800068378448486
424,1288.7644740247888,510.74778481379815,0.34038279776679586,-9.020106795916544,random,1.7301430702209473
425,941.5135053894941,303.4496555662073,0.3405024300228169,-10.879426500642055,random,1.201361894607544
426,1053.0986088955235,424.2931403398002,0.3406228115661943,-10.266542402163894,random,1.6472430229187012
427,902.9981640453703,336.11869686297314,0.34070285377264853,-11.738407800382426,random,1.2367112636566162
428,929.3598425581091,390.5372892074515,0.340687310793025,-9.91947565755458,random,1.7133591175079346
429,1171.429795075168,456.2252290145834,0.3405043795486262,-9.667004462279959,random,1.6592800617218018
430,1102.155532779978,447.81324981432715,0.3402045876239942,-9.880832627020967,random,1.703145980834961
431,920.9969132057131,402.0557101034283,0.33987627864441794,-10.759495357787157,random,1.4296679496765137
432,773.704019077942,297.5743573645742,0.33962718753188337,-11.88277804727287,random,1.318830966949463
433,1239.5110084836797,420.9946750723676,0.33924656938323994,-10.421048556071604,random,1.93532395362854
434,968.7095749442059,394.0817322652042,0.33874688748664006,-10.11190874215453,random,1.6485629081726074
435,1508.2476718558148,419.3423877154761,0.33815082231982413,-7.547713947763211,random,2.030182123184204
436,1333.8677562728756,655.5232263083734,0.33749453405118546,-7.940395185541558,random,2.211439847946167
437,1463.1841192530217,492.1426266201881,0.3368859759633166,-8.27893386008044,random,1.8428521156311035
438,1322.5733197017487,534.6940562695922,0.33626392060640853,-8.301909501690336,random,1.8837089538574219
439,753.6576075651386,279.9708174757695,0.33573831786154656,-11.929968829672218,random,1.0994532108306885
440,964.1650977615728,434.03127907579545,0.3353696439424353,-9.35080015114362,random,1.721999168395996
441,935.2345167196027,501.05877570312407,0.33490307313082324,-8.774023982956942,random,1.733963966369629
442,1186.808559231916,450.6694986209967,0.3343359911702672,-8.285646935356851,random,1.7086031436920166
443,685.7822244548029,343.43280810334534,0.3337004328339482,-10.747100383462808,random,1.3009767532348633
